frequency,raw
8231.16,-6.78
8313.47,-6.35
8396.61,-5.90
8480.57,-5.23
8565.38,-4.63
8651.03,-4.13
8737.54,-3.60
8824.92,-3.04
8913.17,-2.59
9002.30,-2.34
9092.32,-2.09
9183.25,-1.93
9275.08,-1.77
9367.83,-1.67
9461.51,-1.63
9556.12,-1.60
9651.68,-1.56
9748.20,-1.58
9845.68,-1.59
9944.14,-1.61
10043.58,-1.63
10144.02,-1.64
10245.46,-1.64
10347.91,-1.64
10451.39,-1.64
10555.91,-1.64
10661.46,-1.58
10768.08,-1.50
10875.76,-1.41
10984.52,-1.30
11094.36,-1.05
11205.31,-0.82
11317.36,-0.61
11430.53,-0.41
11544.84,-0.26
11660.29,-0.18
11776.89,-0.09
11894.66,-0.01
12013.60,-0.02
12133.74,-0.03
12255.08,-0.04
12377.63,-0.05
12501.41,-0.08
12626.42,-0.15
12752.68,-0.21
12880.21,-0.28
13009.01,-0.49
13139.10,-0.82
13270.49,-1.16
13403.20,-1.50
13537.23,-1.89
13672.60,-2.26
13809.33,-2.61
13947.42,-3.58
14086.90,-4.06
14227.77,-4.53
14370.04,-4.89
14513.74,-5.16
14658.88,-5.43
14805.47,-5.96
14953.52,-6.56
15103.06,-7.35
15254.09,-8.12
15406.63,-8.87
15560.70,-9.83
15716.30,-10.85
15873.47,-11.87
16032.20,-12.88
16192.52,-13.90
16354.45,-14.92
16517.99,-15.94
16683.17,-16.96
16850.01,-17.98
17018.51,-19.00
17188.69,-20.02
17360.58,-21.04
17534.18,-22.05
17709.53,-23.07
17886.62,-24.09
18065.49,-25.11
18246.14,-26.13
18428.60,-27.15
18612.89,-28.17
18799.02,-29.19
18987.01,-30.21
19176.88,-31.22
19368.65,-32.24
19562.33,-33.26
19757.96,-34.28
19955.54,-35.30
